Priority,URL,Type,Locale
1,https://rateships.com/en/shipping/brazil-to-canada,corridor,en
1,https://rateships.com/en/shipping/brazil-to-china,corridor,en
1,https://rateships.com/en/shipping/brazil-to-france,corridor,en
1,https://rateships.com/en/shipping/brazil-to-germany,corridor,en
1,https://rateships.com/en/shipping/brazil-to-india,corridor,en
1,https://rateships.com/en/shipping/brazil-to-italy,corridor,en
1,https://rateships.com/en/shipping/brazil-to-japan,corridor,en
1,https://rateships.com/en/shipping/brazil-to-united-kingdom,corridor,en
1,https://rateships.com/en/shipping/brazil-to-united-states,corridor,en
1,https://rateships.com/en/shipping/canada-to-brazil,corridor,en
1,https://rateships.com/en/shipping/canada-to-china,corridor,en
1,https://rateships.com/en/shipping/canada-to-france,corridor,en
1,https://rateships.com/en/shipping/canada-to-germany,corridor,en
1,https://rateships.com/en/shipping/canada-to-india,corridor,en
1,https://rateships.com/en/shipping/canada-to-italy,corridor,en
1,https://rateships.com/en/shipping/canada-to-japan,corridor,en
1,https://rateships.com/en/shipping/canada-to-united-kingdom,corridor,en
1,https://rateships.com/en/shipping/canada-to-united-states,corridor,en
1,https://rateships.com/en/shipping/china-to-brazil,corridor,en
1,https://rateships.com/en/shipping/china-to-canada,corridor,en
1,https://rateships.com/en/shipping/china-to-france,corridor,en
1,https://rateships.com/en/shipping/china-to-germany,corridor,en
1,https://rateships.com/en/shipping/china-to-india,corridor,en
1,https://rateships.com/en/shipping/china-to-italy,corridor,en
1,https://rateships.com/en/shipping/china-to-japan,corridor,en
1,https://rateships.com/en/shipping/china-to-united-kingdom,corridor,en
1,https://rateships.com/en/shipping/china-to-united-states,corridor,en
1,https://rateships.com/en/shipping/france-to-brazil,corridor,en
1,https://rateships.com/en/shipping/france-to-canada,corridor,en
1,https://rateships.com/en/shipping/france-to-china,corridor,en
1,https://rateships.com/en/shipping/france-to-germany,corridor,en
1,https://rateships.com/en/shipping/france-to-india,corridor,en
1,https://rateships.com/en/shipping/france-to-italy,corridor,en
1,https://rateships.com/en/shipping/france-to-japan,corridor,en
1,https://rateships.com/en/shipping/france-to-united-kingdom,corridor,en
1,https://rateships.com/en/shipping/france-to-united-states,corridor,en
1,https://rateships.com/en/shipping/germany-to-brazil,corridor,en
1,https://rateships.com/en/shipping/germany-to-canada,corridor,en
1,https://rateships.com/en/shipping/germany-to-china,corridor,en
1,https://rateships.com/en/shipping/germany-to-france,corridor,en
1,https://rateships.com/en/shipping/germany-to-india,corridor,en
1,https://rateships.com/en/shipping/germany-to-italy,corridor,en
1,https://rateships.com/en/shipping/germany-to-japan,corridor,en
1,https://rateships.com/en/shipping/germany-to-united-kingdom,corridor,en
1,https://rateships.com/en/shipping/germany-to-united-states,corridor,en
1,https://rateships.com/en/shipping/india-to-brazil,corridor,en
1,https://rateships.com/en/shipping/india-to-canada,corridor,en
1,https://rateships.com/en/shipping/india-to-china,corridor,en
1,https://rateships.com/en/shipping/india-to-france,corridor,en
